wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
7,0,0,190.5,182.88,Orthodox,0,0,0,0,7.32,100,0,21.9,win
15,37,0,185.42,182.88,Orthodox,3.36,77,0,0,0,0,100,21.6,loss
13,9,0,177.8,182.88,Orthodox,0,0,5.58,60,0,0,0,20.9,win
7,4,0,167.64,182.88,Orthodox,1.4,33,1.4,75,0,0,100,20.9,win
8,2,0,190.5,193.04,Orthodox,2.05,60,2.73,42,10.23,100,0,20.4,win
9,7,0,175.26,182.88,Orthodox,0,0,4,38,0,0,0,16.4,win
5,7,1,177.8,182.88,Orthodox,4.84,50,0.97,80,0,0,66,14.5,loss
4,7,0,182.88,182.88,Orthodox,3.21,66,1.28,0,0,0,40,14.4,loss
9,3,0,177.8,175.26,Orthodox,1.91,42,6.22,33,0,0,0,14.3,win
12,8,1,198.12,182.88,Orthodox,0,0,0,0,0,0,100,14.3,win
9,2,1,190.5,182.88,Orthodox,4.69,45,0.94,91,0,0,100,14.1,win
5,0,0,185.42,193.04,Southpaw,2.76,62,0.55,75,11.04,50,0,13.8,win
9,3,0,165.1,182.88,Orthodox,0.11,7,7.36,31,0,0,0,12.1,win
26,3,0,160.02,182.88,Orthodox,2.4,42,0,100,0,0,0,12,win
6,2,0,182.88,182.88,Orthodox,7.79,62,3.9,44,0,0,0,11.7,win
14,15,0,187.96,182.88,Orthodox,8.41,79,0,100,5.49,100,0,11,loss
8,0,0,177.8,182.88,Orthodox,2.75,32,0.92,80,11.01,100,100,11,win
16,8,0,185.42,185.42,Southpaw,1.38,50,7.59,26,0,0,0,10.3,win
7,5,1,165.1,182.88,Southpaw,1.36,100,0.68,66,10.23,100,0,10.2,win
7,6,0,170.18,182.88,Orthodox,0.68,33,1.36,0,0,0,0,10.2,win
13,7,0,182.88,182.88,Orthodox,0,0,2,25,0,0,0,10,win
3,1,0,172.72,182.88,Orthodox,1.32,40,2.64,50,9.89,50,0,9.9,win
6,2,0,167.64,167.64,Orthodox,0.87,50,0.65,66,3.27,100,0,9.8,win
6,1,0,193.04,195.58,Switch,3.93,66,6.56,28,0,0,0,9.8,win
7,9,0,180.34,182.88,Orthodox,0.48,23,4.81,52,0,0,0,9.6,loss
6,1,0,185.42,187.96,Switch,1.24,40,3.09,61,0,0,100,9.3,win
29,11,0,175.26,182.88,Orthodox,2.88,50,2.16,51,1.54,33,50,9.2,win
9,8,0,182.88,182.88,Orthodox,0.6,33,3.6,50,0,0,0,9,win
8,0,0,190.5,182.88,Orthodox,2.77,68,1.17,38,1.21,50,81,9,win
6,7,0,175.26,182.88,Orthodox,0.3,25,2.4,50,4.5,100,0,9,loss
18,6,0,187.96,182.88,Southpaw,0,0,2.4,42,9,100,0,9,win
4,2,0,187.96,182.88,Sideways,0.28,20,1.41,52,0,0,0,8.5,win
16,7,0,187.96,182.88,Orthodox,4.79,50,4.79,48,0,0,100,8.3,win
10,3,0,182.88,182.88,Orthodox,0,0,0.54,81,0,0,0,8.1,win
4,2,0,178.2343247,182.88,Orthodox,0.54,16,0,100,0,0,0,8,win
7,7,0,177.8,182.88,Orthodox,3.17,80,3.7,26,3.96,100,0,7.9,draw
5,3,0,187.96,182.88,Orthodox,2.63,50,2.11,55,7.89,100,100,7.9,win
8,3,0,175.26,182.88,Orthodox,1.53,42,1.02,63,3.83,100,0,7.7,win
11,9,0,178.2343247,182.88,Orthodox,0,0,2.05,60,0,0,100,7.7,win
1,3,0,178.2343247,182.88,Orthodox,2.56,83,1.03,50,0,0,33,7.7,loss
14,5,0,175.26,182.88,Orthodox,0.68,66,1.69,54,0,0,0,7.6,win
11,8,0,185.42,182.88,Orthodox,1.5,75,3.25,43,0,0,0,7.5,win
14,2,0,182.88,185.42,Orthodox,0.53,26,1.9,51,0.53,16,33,7.4,win
0,2,0,185.42,182.88,Orthodox,0,0,3.36,22,0,0,0,7.2,loss
15,3,0,180.34,182.88,Southpaw,1.4,42,3.72,27,13.95,50,0,7,win
30,11,1,175.26,182.88,Orthodox,0.16,20,2.95,26,0,0,0,7,win
4,11,2,175.26,182.88,Orthodox,0,0,0.92,60,6.92,100,0,6.9,loss
1,2,0,178.2343247,182.88,Orthodox,3.94,40,4.38,44,6.57,100,100,6.6,loss
2,2,0,167.64,182.88,Orthodox,1.73,50,0.43,75,0,0,50,6.5,draw
4,2,0,170.18,180.34,Southpaw,0.21,50,7.37,25,3.16,100,0,6.3,win
9,4,1,190.5,182.88,Orthodox,0.94,47,1.87,25,4.68,60,100,6.2,win
23,4,1,172.72,182.88,Orthodox,1.06,47,2.6,45,0.48,33,28,6.2,win
13,5,1,182.88,182.88,Orthodox,0.54,33,3.51,27,0,0,0,6.1,win
6,5,0,172.72,172.72,Orthodox,3.05,49,2.82,35,0,0,50,6.1,win
20,10,1,175.26,177.8,Orthodox,0.8,44,3.2,40,0,0,0,6,win
6,0,0,182.88,182.88,Orthodox,0.77,100,0.38,75,5.77,100,0,5.8,win
11,0,0,193.04,198.12,Orthodox,1.52,100,0,0,0,0,0,5.7,win
39,13,2,182.88,182.88,Southpaw,1.82,68,2.92,35,0,0,0,5.5,win
6,2,0,185.42,182.88,Southpaw,2.34,63,2.71,37,5.54,50,0,5.5,win
5,4,0,190.5,198.12,Orthodox,1.8,50,2.04,46,7.19,80,80,5.4,win
11,2,0,180.34,182.88,Orthodox,2.86,29,8.93,51,5.36,100,100,5.4,win
3,3,0,177.8,182.88,Orthodox,1.62,47,2.01,58,2.12,36,100,5.3,draw
23,6,0,180.34,182.88,Orthodox,2.47,53,4.91,37,0,0,42,5.3,win
