name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Robert Drysdale,,7,0,0,190.5,92.99,,Orthodox,10/5/1981,0,0,0,0,7.32,100,0,21.9,,win
Daniel McWilliams,The Animal,15,37,0,185.42,83.91,,,,3.36,77,0,0,0,0,100,21.6,,loss
Dan Molina,,13,9,0,177.8,97.98,,,,0,0,5.58,60,0,0,0,20.9,,win
Paul Ruiz,,7,4,0,167.64,61.23,,,,1.4,33,1.4,75,0,0,100,20.9,,win
Collin Huckbody,All In,8,2,0,190.5,83.91,193.04,Orthodox,9/29/1994,2.05,60,2.73,42,10.23,100,0,20.4,,win
Gerald Strebendt,The Finishing Machine,9,7,0,175.26,70.31,,Orthodox,3/1/1979,0,0,4,38,0,0,0,16.4,,win
Isaiah Hill,,5,7,1,177.8,70.31,,,,4.84,50,0.97,80,0,0,66,14.5,,loss
Kenneth Seegrist,,4,7,0,182.88,83.91,,Orthodox,,3.21,66,1.28,0,0,0,40,14.4,,loss
Will Kerr,,9,3,0,177.8,70.31,175.26,Orthodox,10/21/1982,1.91,42,6.22,33,0,0,0,14.3,,win
Neil Grove,Goliath,12,8,1,198.12,120.2,,Orthodox,1/18/1971,0,0,0,0,0,0,100,14.3,,win
Raphael Butler,The Silencer,9,2,1,190.5,118.39,,,,4.69,45,0.94,91,0,0,100,14.1,,win
Bo Nickal,,5,0,0,185.42,83.91,193.04,Southpaw,1/14/1996,2.76,62,0.55,75,11.04,50,0,13.8,,win
Ian Entwistle,Enty,9,3,0,165.1,61.23,,Orthodox,11/19/1986,0.11,7,7.36,31,0,0,0,12.1,,win
Megumi Fujii,Mega Megu,26,3,0,160.02,51.26,,,,2.4,42,0,100,0,0,0,12,,win
Gaston Reyno,Tonga,6,2,0,182.88,65.77,,,,7.79,62,3.9,44,0,0,0,11.7,,win
Kenny Ento,Tha' Dragon,14,15,0,187.96,87.09,,,,8.41,79,0,100,5.49,100,0,11,,loss
AJ McKee,Mercenary,8,0,0,177.8,65.77,,,,2.75,32,0.92,80,11.01,100,100,11,,win
Westin Wilson,,16,8,0,185.42,65.77,185.42,Southpaw,1/24/1989,1.38,50,7.59,26,0,0,0,10.3,,win
Philip Perez,,7,5,1,165.1,70.31,,Southpaw,,1.36,100,0.68,66,10.23,100,0,10.2,,win
Brandon Shuey,Big Dawg,7,6,0,170.18,70.31,,Orthodox,2/1/1976,0.68,33,1.36,0,0,0,0,10.2,,win
Dave Phillips,The Rockstar,13,7,0,182.88,83.91,,Orthodox,1/12/1980,0,0,2,25,0,0,0,10,,win
Johnny Sampaio,,3,1,0,172.72,77.11,,Orthodox,9/11/1975,1.32,40,2.64,50,9.89,50,0,9.9,,win
Dione Barbosa,The Witch,6,2,0,167.64,56.7,167.64,Orthodox,5/8/1992,0.87,50,0.65,66,3.27,100,0,9.8,,win
Zach Reese,Savage,6,1,0,193.04,83.91,195.58,Switch,3/24/1994,3.93,66,6.56,28,0,0,0,9.8,,win
Rodrigo Gripp de Sousa,Riscado,7,9,0,180.34,92.99,,Orthodox,,0.48,23,4.81,52,0,0,0,9.6,,loss
Justin Burlinson,,6,1,0,185.42,77.11,187.96,Switch,5/19/1997,1.24,40,3.09,61,0,0,100,9.3,,win
Poppies Martinez,The Tachi Kid,29,11,0,175.26,65.77,,,,2.88,50,2.16,51,1.54,33,50,9.2,,win
Josh Rafferty,,9,8,0,182.88,77.11,,Orthodox,1/6/1981,0.6,33,3.6,50,0,0,0,9,,win
Daniel Puder,,8,0,0,190.5,106.59,,Orthodox,10/9/1981,2.77,68,1.17,38,1.21,50,81,9,,win
Yukio Sakaguchi,,6,7,0,175.26,83.91,,Orthodox,7/26/1973,0.3,25,2.4,50,4.5,100,0,9,,loss
Magomed Sultanakhmedov,,18,6,0,187.96,83.91,,Southpaw,,0,0,2.4,42,9,100,0,9,,win
Jeff Newton,,4,2,0,187.96,92.99,,Sideways,12/11/1966,0.28,20,1.41,52,0,0,0,8.5,,win
Emiliano Sordi,He-Man,16,7,0,187.96,92.99,,Orthodox,2/15/1991,4.79,50,4.79,48,0,0,100,8.3,,win
Erik Apple,,10,3,0,182.88,77.11,,Orthodox,8/26/1977,0,0,0.54,81,0,0,0,8.1,,win
Fazlo Mulabitinovic,,4,2,0,,61.23,,,,0.54,16,0,100,0,0,0,8,,win
J.T Taylor,The Outlaw,7,7,0,177.8,,,,,3.17,80,3.7,26,3.96,100,0,7.9,,draw
Adam Meredith,,5,3,0,187.96,77.11,,,,2.63,50,2.11,55,7.89,100,100,7.9,,win
Klayton Mai,,8,3,0,175.26,56.7,,,,1.53,42,1.02,63,3.83,100,0,7.7,,win
Ron Keslar,,11,9,0,,83.91,,,,0,0,2.05,60,0,0,100,7.7,,win
Bobby McAndrews,,1,3,0,,,,Orthodox,,2.56,83,1.03,50,0,0,33,7.7,,loss
Ansar Chalangov,,14,5,0,175.26,77.11,,Orthodox,10/30/1979,0.68,66,1.69,54,0,0,0,7.6,,win
Jeremiah Constant,,11,8,0,185.42,108.86,,Orthodox,7/19/1974,1.5,75,3.25,43,0,0,0,7.5,,win
Paul Sass,,14,2,0,182.88,70.31,185.42,Orthodox,8/4/1988,0.53,26,1.9,51,0.53,16,33,7.4,,win
Eddy Millis,,0,2,0,185.42,83.91,,,,0,0,3.36,22,0,0,0,7.2,,loss
